solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
cpp_serial,33,serial_cpp,128,1000,upwind,RBGS,19220.2949414,10000,0.000305247594764,validated_but_not_converged,comparison/results/split/cpp_serial_case_033.csv
cpp_serial,34,serial_cpp,128,1000,upwind,RBSOR,4175.44437336,10000,9.36613220349e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_034.csv
cpp_serial,35,serial_cpp,128,1000,central,RBGS,22090.1456672,11500,0.000309287535411,validated_but_not_converged,comparison/results/split/cpp_serial_case_035.csv
cpp_serial,36,serial_cpp,128,1000,central,RBSOR,4875.3550488,11500,9.27573244329e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_036.csv
octave_looped,1,loop,32,100,upwind,RBGS,1450.09500098,4000,9.17261227739e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_001.csv
octave_looped,2,loop,32,100,upwind,RBSOR,895.743046045,4000,5.75090163629e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_002.csv
octave_looped,3,loop,32,100,central,RBGS,1843.97763801,5500,9.16411087027e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_003.csv
octave_looped,4,loop,32,100,central,RBSOR,1162.18980908,5500,5.92300574361e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_004.csv
octave_looped,5,loop,32,400,upwind,RBGS,1419.45821905,4000,9.29384779981e-05,needs_improvement,comparison/results/split/octave_looped_case_005.csv
octave_looped,6,loop,32,400,upwind,RBSOR,876.303304911,4000,6.45593192336e-05,needs_improvement,comparison/results/split/octave_looped_case_006.csv
octave_looped,7,loop,32,400,central,RBGS,1832.91461301,5500,9.31774606428e-05,needs_improvement,comparison/results/split/octave_looped_case_007.csv
octave_looped,8,loop,32,400,central,RBSOR,1178.52660298,5500,6.52177025163e-05,needs_improvement,comparison/results/split/octave_looped_case_008.csv
octave_looped,9,loop,32,1000,upwind,RBGS,1934.81252813,7000,8.72827263944e-05,needs_improvement,comparison/results/split/octave_looped_case_009.csv
octave_looped,10,loop,32,1000,upwind,RBSOR,1470.90594196,7000,5.43281322191e-05,needs_improvement,comparison/results/split/octave_looped_case_010.csv
octave_looped,11,loop,32,1000,central,RBGS,2155.79896688,8500,8.78148556894e-05,needs_improvement,comparison/results/split/octave_looped_case_011.csv
octave_looped,12,loop,32,1000,central,RBSOR,1675.94527793,8500,4.80505600102e-05,needs_improvement,comparison/results/split/octave_looped_case_012.csv
octave_looped,13,loop,64,100,upwind,RBGS,7154.77124381,4000,9.80531322402e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_013.csv
octave_looped,14,loop,64,100,upwind,RBSOR,3643.24692488,4000,8.02159832272e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_014.csv
octave_looped,15,loop,64,100,central,RBGS,9005.253932,5500,9.78963559449e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_015.csv
octave_looped,16,loop,64,100,central,RBSOR,4795.17040014,5500,7.87017974524e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_016.csv
octave_looped,17,loop,64,400,upwind,RBGS,7816.57827187,4000,9.82123100574e-05,needs_improvement,comparison/results/split/octave_looped_case_017.csv
octave_looped,18,loop,64,400,upwind,RBSOR,3680.47999096,4000,7.94659329115e-05,needs_improvement,comparison/results/split/octave_looped_case_018.csv
octave_looped,19,loop,64,400,central,RBGS,10173.6313319,5500,9.83589004006e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_019.csv
octave_looped,20,loop,64,400,central,RBSOR,4802.17673993,5500,7.80452949486e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_020.csv
octave_looped,21,loop,64,1000,upwind,RBGS,10901.5503888,7000,9.77776596704e-05,needs_improvement,comparison/results/split/octave_looped_case_021.csv
octave_looped,22,loop,64,1000,upwind,RBSOR,6067.29608202,7000,7.77800383048e-05,needs_improvement,comparison/results/split/octave_looped_case_022.csv
octave_looped,23,loop,64,1000,central,RBGS,13308.1337769,8500,9.80088314945e-05,needs_improvement,comparison/results/split/octave_looped_case_023.csv
octave_looped,24,loop,64,1000,central,RBSOR,7211.57543612,8500,7.97024667847e-05,needs_improvement,comparison/results/split/octave_looped_case_024.csv
octave_looped,25,loop,128,100,upwind,RBGS,54935.468538,7000,0.000140371533297,validated_but_not_converged,comparison/results/split/octave_looped_case_025.csv
octave_looped,26,loop,128,100,upwind,RBSOR,29279.327533,7000,9.31921712342e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_026.csv
octave_looped,27,loop,128,100,central,RBGS,58692.742049,8500,0.000149392174025,validated_but_not_converged,comparison/results/split/octave_looped_case_027.csv
octave_looped,28,loop,128,100,central,RBSOR,32641.878056,8500,9.35820927652e-05,validated_but_not_converged,comparison/results/split/octave_looped_case_028.csv
